,Track,Artist,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Year
397,Again,Janet Jackson,3:13,4,0.664,0.738,9,-4.095,0,0.0338,0.188,5.75e-05,0.135,0.203,119.973,76,1994
300,Again,Janet Jackson,3:13,4,0.664,0.738,9,-4.095,0,0.0338,0.188,5.75e-05,0.135,0.203,119.973,76,1993
5,Alright,Janet Jackson,3:39,4,0.796,0.766,7,-5.974,1,0.238,0.0742,0.0,0.0827,0.558,110.034,80,1990
296,Alright,Kris Kross,3:39,4,0.796,0.766,7,-5.974,1,0.238,0.0742,0.0,0.0827,0.558,110.034,80,1993
394,Always,Bon Jovi,3:43,4,0.174,0.742,8,-5.93,1,0.0485,0.00181,0.281,0.198,0.36,163.378,78,1994
395,Always,Erasure,3:43,4,0.174,0.742,8,-5.93,1,0.0485,0.00181,0.281,0.198,0.36,163.378,78,1994
303,Angel,Jon Secada,3:55,4,0.74,0.766,6,-2.939,1,0.178,0.116,0.0,0.0406,0.807,170.531,75,1993
841,Angel,Sarah McLachlan,3:55,4,0.74,0.766,6,-2.939,1,0.178,0.116,0.0,0.0406,0.807,170.531,75,1999
575,Anything,3T,3:22,4,0.388,0.291,3,-12.952,1,0.0421,0.774,1.93e-05,0.0874,0.51,83.943,76,1996
399,Anything,SWV,3:22,4,0.388,0.291,3,-12.952,1,0.0421,0.774,1.93e-05,0.0874,0.51,83.943,76,1994
827,Believe,Cher,3:24,4,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,86,1999
480,Believe,Elton John,3:24,4,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,86,1995
700,Butta Love,Next,4:56,4,0.735,0.441,1,-8.412,0,0.0407,0.0972,0.0,0.0967,0.591,108.015,50,1997
792,Butta Love,Next,4:56,4,0.735,0.441,1,-8.412,0,0.0407,0.0972,0.0,0.0967,0.591,108.015,50,1998
106,Crazy,Seal,3:56,4,0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,78,1991
